ticker,company,listing
HNSDF,Hensoldt AG/ADR,sec_only
HRDI,Here Media Inc.,otc
HESAY,Hermès International Société en commandite par actions,otc
HXGBF,Hexagon AB (publ),otc
HXXPY,HEXPOL AB (publ),otc
HKMPF,Hikma Pharmaceuticals PLC,otc
HLTFF,Hilton Food Group plc,otc
HROEY,"Hirose Electric Co.,Ltd.",otc
HCXLF,Hiscox Ltd,otc
HNKLY,"Hisense Home Appliances Group Co., Ltd.",otc
HTHIY,HITACHI LTD,sec_only
HTCMF,"Hitachi Construction Machinery Co., Ltd.",otc
HKTTF,HKT Trust and HKT Limited,otc
HCMLF,Holcim AG,otc
HLMNY,Holmen AB (publ),otc
HLHLY,Holmen AB (publ),otc
HNHAF,"Hon Hai Precision Industry Co., Ltd.",otc
HOKCF,The Hong Kong and China Gas Company Limited,otc
HKXCF,Hong Kong Exchanges and Clearing Limited,otc
HKHGF,Hongkong Land Holdings Limited,otc
HRBAY,"Horiba, Ltd./ADR",sec_only
HZRBY,"Horizon Robotics, Inc./ADR",sec_only
HSHIF,Hoshizaki Corporation,otc
HWDJF,Howden Joinery Group Plc,otc
HOCPY,HOYA Corporation,otc
HPIFY,Huadian Power International Corporation Limited,otc
HOYFF,Huhtamäki Oyj,otc
HNTIY,Hunting PLC,otc
HUQVF,Husqvarna AB (publ),otc
HSQVY,Husqvarna AB (publ),otc
HCTPF,Hutchison Port Holdings Trust/ADR,sec_only
HUTCY,Hutchison Telecommunications Hong Kong Holdings Limited,otc
HYSNY,Hysan Development Company Limited,otc
IBIDF,"Ibiden Co., Ltd./ADR",sec_only
IDKOF,"Idemitsu Kosan Co.,Ltd.",otc
IDPEY,IDP Education Ltd./ADR,sec_only
IGGRF,IG Group Holdings plc,otc
IIDDY,IGO Limited,otc
IHICF,IHI Corporation/ADR,sec_only
ILKAY,Iluka Resources Limited,otc
IMCDY,IMCD N.V.,otc
IMYSF,Imerys S.A.,otc
IMIAF,IMI plc,otc
IBCP,Independent Bank Corporation Common Stock,exchange
IARLF,Indofood Agri Resources Ltd.,otc
ISMAF,"Indra Sistemas, S.A.",otc
IDCBY,Industrial and Commercial Bank of China Limited,otc
