ticker,company,price,cap,need,verdict,r3_fin_score,reason
BLCO,Bausch + Lomb Corporation Common Shares,17.25,6161100288.0,health,B,20,R3: ranked below R4 cut (composite need+financial score)
CSTL,Castle Biosciences Inc. Common Stock,35.0,1069232768.0,health,B,20,R3: ranked below R4 cut (composite need+financial score)
COO,The Cooper Companies Inc. Common Stock,73.04,14245037215.0,health,B,20,R3: ranked below R4 cut (composite need+financial score)
LMRI,Lumexa Imaging Holdings Inc. Common Stock,12.07,1159624960.0,health,B,12,R3: ranked below R4 cut (composite need+financial score)
ARHCF,Alfresa Holdings Corporation,14.0,2455740672.0,health,B,9,R3: ranked below R4 cut (composite need+financial score)
AMFPY,Amplifon S.p.A.,46.67,3094788352.0,health,B,14,R3: ranked below R4 cut (composite need+financial score)
DMPHF,Dermapharm Holding SE,47.69,2362600960.0,health,A,22,R3: ranked below R4 cut (composite need+financial score)
EBOSF,EBOS Group Limited,23.75,4915771392.0,health,B,16,R3: ranked below R4 cut (composite need+financial score)
RGEDF,Gedeon Richter PLC,43.7625,7981867008.0,health,B,17,R3: ranked below R4 cut (composite need+financial score)
HLNCF,Haleon plc,5.05,44415934464.0,health,B,17,R3: ranked below R4 cut (composite need+financial score)
HNGE,Hinge Health Inc. Class A Common Stock,89.87,7252007424.0,health,A,24,R3: ranked below R4 cut (composite need+financial score)
MAHLY,MediPal Holdings Corporation,18.5,3786924800.0,health,B,9,R3: ranked below R4 cut (composite need+financial score)
MKGAF,Merck KGaA,164.0,71303577600.0,health,B,17,R3: ranked below R4 cut (composite need+financial score)
SZUKF,"Suzuken Co., Ltd.",30.3,2049426688.0,health,B,12,R3: ranked below R4 cut (composite need+financial score)
TEM,Tempus AI Inc. Class A Common Stock,69.08,12464433152.0,health,B,20,R3: ranked below R4 cut (composite need+financial score)
RCEL,Avita Medical Inc. Common Stock,10.5,324731904.0,health,A,16,R3: ranked below R4 cut (composite need+financial score)
CARL,Carlsmed Inc. Common Stock,16.07,438755072.0,health,B,22,R3: ranked below R4 cut (composite need+financial score)
CLVSF,CellaVision AB (publ),14.0,333921664.0,health,A,17,R3: ranked below R4 cut (composite need+financial score)
MOBI,Mobia Medical Inc. Common Stock,10.63,353436928.0,health,B,20,R3: ranked below R4 cut (composite need+financial score)
EYE,National Vision Holdings Inc. Common Stock,18.69,1477805440.0,health,A,17,R3: ranked below R4 cut (composite need+financial score)
